"IATA","ICAO","Airport name","Country","City","Information"
"AAA","NTGA","Anaa Airport","French Polynesia","Anaa","https://www.worlddata.info/oceania/french-polynesia/airports.php"
"AAB","YARY","Arrabury Airport","Australia","Tanbar","https://www.worlddata.info/oceania/australia/airports.php"
"AAC","HEAR","El Arish International Airport","Egypt","El Arish","https://www.worlddata.info/africa/egypt/airports.php"
"AAD",,"Adado Airport","Somalia","Adado","https://www.worlddata.info/africa/somalia/airports.php"
"AAE","DABB","Annaba Rabah Bitat Airport","Algeria","Annaba","https://www.worlddata.info/africa/algeria/airports.php"
"AAF","KAAF","Apalachicola Regional Airport","United States of America","Apalachicola","https://www.worlddata.info/america/usa/airports.php"
"AAG","SSYA","Avelino Vieira Airport","Brazil","Arapoti","https://www.worlddata.info/america/brazil/airports.php"
"AAH","EDKA","Aachen-Merzbrück Airport","Germany","Aachen","https://www.worlddata.info/europe/germany/airports.php"
"AAI","SWRA","Arraias Airport","Brazil","Arraias","https://www.worlddata.info/america/brazil/airports.php"
"AAJ",,"Cayana Airstrip","Suriname","Awaradam","https://www.worlddata.info/america/suriname/airports.php"
"AAK","NGUK","Aranuka Airport","Kiribati","Buariki","https://www.worlddata.info/oceania/kiribati/airports.php"
"AAL","EKYT","Aalborg Airport","Denmark","Aalborg","https://www.worlddata.info/europe/denmark/airports.php"
"AAM","FAMD","Malamala Airport","South Africa","Malamala","https://www.worlddata.info/africa/south-africa/airports.php"
"AAN","OMAL","Al Ain International Airport","United Arab Emirates","Al Ain","https://www.worlddata.info/asia/arab-emirates/airports.php"
"AAO","SVAN","Anaco Airport","Venezuela","Anaco","https://www.worlddata.info/america/venezuela/airports.php"
"AAP","WALS","Aji Pangeran Tumenggung Pranoto International Airport","Indonesia","Samarinda","https://www.worlddata.info/asia/indonesia/airports.php"
"AAQ","URKA","Anapa Vityazevo Airport","Russia","Krasnyi Kurgan","https://www.worlddata.info/europe/russia/airports.php"
"AAR","EKAH","Aarhus Airport","Denmark","Aarhus","https://www.worlddata.info/europe/denmark/airports.php"
"AAS",,"Apalapsili Airport","Indonesia","Apalapsili","https://www.worlddata.info/asia/indonesia/airports.php"
"AAT",,"Altay Xuedu Airport","China","Altay","https://www.worlddata.info/asia/china/airports.php"
"AAU","NSAU","Asau Airport","Samoa","Asau","https://www.worlddata.info/oceania/samoa/airports.php"
"AAV","RPMA","Allah Valley Airport","Philippines","Surallah","https://www.worlddata.info/asia/philippines/airports.php"
"AAX","SBAX","Romeu Zema Airport","Brazil","Araxá","https://www.worlddata.info/america/brazil/airports.php"
"AAY","OYGD","Al Ghaydah International Airport","Yemen","Al Ghaydah","https://www.worlddata.info/asia/yemen/airports.php"
"AAZ","MGQZ","Quezaltenango Airport","Guatemala","Quezaltenango","https://www.worlddata.info/america/guatemala/airports.php"
"ABA","UNAA","Abakan International Airport","Russia","Abakan","https://www.worlddata.info/europe/russia/airports.php"
"ABB","DNAS","Asaba International Airport","Nigeria","Asaba","https://www.worlddata.info/africa/nigeria/airports.php"
"ABC","LEAB","Albacete Airport / Los Llanos Air Base","Spain","Albacete","https://www.worlddata.info/europe/spain/airports.php"
"ABD","OIAA","Abadan Airport","Iran","Abadan","https://www.worlddata.info/asia/iran/airports.php"
"ABE","KABE","Lehigh Valley International Airport","United States of America","Allentown","https://www.worlddata.info/america/usa/airports.php"
"ABF","NGAB","Abaiang Airport","Kiribati","Abaiang","https://www.worlddata.info/oceania/kiribati/airports.php"
"ABG","YABI","Abingdon Downs Airport","Australia","Abingdon Downs","https://www.worlddata.info/oceania/australia/airports.php"
"ABH",,"Alpha Airport","Australia","Alpha","https://www.worlddata.info/oceania/australia/airports.php"
"ABI","KABI","Abilene Regional Airport","United States of America","Abilene","https://www.worlddata.info/america/usa/airports.php"
"ABJ","DIAP","Félix-Houphouët-Boigny International Airport","Ivory Coast","Abidjan","https://www.worlddata.info/africa/ivory-coast/airports.php"
"ABK","HAKD","Kebri Dahar Airport","Ethiopia","Kebri Dahar","https://www.worlddata.info/africa/ethiopia/airports.php"
"ABL","PAFM","Ambler Airport","United States of America","Ambler","https://www.worlddata.info/america/usa/airports.php"
"ABM","YNPE","Northern Peninsula Airport","Australia","Bamaga","https://www.worlddata.info/oceania/australia/airports.php"
"ABN","SMBN","Albina Airport","Suriname","Albina","https://www.worlddata.info/america/suriname/airports.php"
"ABO","DIAO","Aboisso Airport","Ivory Coast","Aboisso","https://www.worlddata.info/africa/ivory-coast/airports.php"
"ABP",,"Atkamba Airport","Papua New Guinea","Atkamba Mission","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"ABQ","KABQ","Albuquerque International Sunport","United States of America","Albuquerque","https://www.worlddata.info/america/usa/airports.php"
"ABR","KABR","Aberdeen Regional Airport","United States of America","Aberdeen","https://www.worlddata.info/america/usa/airports.php"
"ABS","HEBL","Abu Simbel Airport","Egypt","Abu Simbel","https://www.worlddata.info/africa/egypt/airports.php"
"ABT","OEBA","King Saud Bin Abdulaziz (Al Baha) Airport","Saudi Arabia","Al-Baha","https://www.worlddata.info/asia/saudi-arabia/airports.php"
"ABU","WRKA","AA Bere Tallo (Haliwen) Airport","Indonesia","Atambua","https://www.worlddata.info/asia/indonesia/airports.php"
"ABV","DNAA","Nnamdi Azikiwe International Airport","Nigeria","Abuja","https://www.worlddata.info/africa/nigeria/airports.php"
"ABX","YMAY","Albury Airport","Australia","Albury","https://www.worlddata.info/oceania/australia/airports.php"
"ABY","KABY","Southwest Georgia Regional Airport","United States of America","Albany","https://www.worlddata.info/america/usa/airports.php"
"ABZ","EGPD","Aberdeen Dyce Airport","United Kingdom","Aberdeen","https://www.worlddata.info/europe/united-kingdom/airports.php"
"ACA","MMAA","Aeropuerto Internacional Juan N. Álvarez","Mexico","Ciudad de Acapulco","https://www.worlddata.info/america/mexico/airports.php"
"ACB","KACB","Antrim County Airport","United States of America","Bellaire","https://www.worlddata.info/america/usa/airports.php"
"ACC","DGAA","Kotoka International Airport","Ghana","Accra","https://www.worlddata.info/africa/ghana/airports.php"
"ACD","SKAD","Alcides Fernández Airport","Colombia","Acandí","https://www.worlddata.info/america/colombia/airports.php"
"ACE","GCRR","César Manrique-Lanzarote Airport","Spain","San Bartolomé","https://www.worlddata.info/europe/spain/airports.php"
"ACF","ZWAL","Aral Tarim Airport","China","Aral","https://www.worlddata.info/asia/china/airports.php"
"ACH","LSZR","Sankt Gallen Altenrhein Airport","Switzerland","St. Gallen","https://www.worlddata.info/europe/switzerland/airports.php"
"ACI","EGJA","Alderney Airport","Guernsey","Saint Anne","https://www.worlddata.info/europe/guernsey/airports.php"
"ACJ","VCCA","Anuradhapura Airport","Sri Lanka","Anuradhapura","https://www.worlddata.info/asia/sri-lanka/airports.php"
"ACK","KACK","Nantucket Memorial Airport","United States of America","Nantucket","https://www.worlddata.info/america/usa/airports.php"
"ACN","MMCC","Ciudad Acuña New International Airport","Mexico","Ciudad Acuña","https://www.worlddata.info/america/mexico/airports.php"
"ACP","OITM","Sahand Airport","Iran","Maragheh","https://www.worlddata.info/asia/iran/airports.php"
"ACR","SKAC","Araracuara Airport","Colombia","Araracuara","https://www.worlddata.info/america/colombia/airports.php"
"ACS","UNKS","Achinsk Airport","Russia","Achinsk","https://www.worlddata.info/europe/russia/airports.php"
"ACT","KACT","Waco Regional Airport","United States of America","Waco","https://www.worlddata.info/america/usa/airports.php"
"ACU",,"Achutupu Airport","Panama","Mamitupu","https://www.worlddata.info/america/panama/airports.php"
"ACV","KACV","California Redwood Coast-Humboldt County Airport","United States of America","Arcata/Eureka","https://www.worlddata.info/america/usa/airports.php"
"ACX","ZUYI","Xingyi Wanfenglin Airport","China","Xingyi","https://www.worlddata.info/asia/china/airports.php"
"ACY","KACY","Atlantic City International Airport","United States of America","Atlantic City","https://www.worlddata.info/america/usa/airports.php"
"ACZ","OIZB","Zabol Airport","Iran","Zabol","https://www.worlddata.info/asia/iran/airports.php"
"ADA","LTAF","Adana Şakirpaşa Airport","Turkey","Seyhan","https://www.worlddata.info/asia/turkey/airports.php"
"ADB","LTBJ","Adnan Menderes International Airport","Turkey","Gaziemir","https://www.worlddata.info/asia/turkey/airports.php"
"ADC",,"Andakombe Airport","Papua New Guinea","Andekombe","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"ADD","HAAB","Addis Ababa Bole International Airport","Ethiopia","Addis Ababa","https://www.worlddata.info/africa/ethiopia/airports.php"
"ADE","OYAA","Aden International Airport","Yemen","Aden","https://www.worlddata.info/asia/yemen/airports.php"
"ADF","LTCP","Adıyaman Airport","Turkey","Adıyaman","https://www.worlddata.info/asia/turkey/airports.php"
"ADG","KADG","Lenawee County Airport","United States of America","Adrian","https://www.worlddata.info/america/usa/airports.php"
"ADH","UEEA","Aldan Airport","Russia","Aldan","https://www.worlddata.info/europe/russia/airports.php"
"ADI","FYAR","Arandis Airport","Namibia","Arandis","https://www.worlddata.info/africa/namibia/airports.php"
"ADJ","OJAM","Amman Civil (Marka International) Airport","Jordan","Amman","https://www.worlddata.info/asia/jordan/airports.php"
"ADK","PADK","Adak Airport","United States of America","Adak","https://www.worlddata.info/america/usa/airports.php"
"ADL","YPAD","Adelaide International Airport","Australia","Adelaide","https://www.worlddata.info/oceania/australia/airports.php"
"ADM","KADM","Ardmore Municipal Airport","United States of America","Ardmore","https://www.worlddata.info/america/usa/airports.php"
"ADO","YAMK","Andamooka Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"ADP","VCCG","Ampara Airport","Sri Lanka","Ampara","https://www.worlddata.info/asia/sri-lanka/airports.php"
"ADQ","PADQ","Kodiak Airport","United States of America","Kodiak","https://www.worlddata.info/america/usa/airports.php"
"ADR","KPHH","Robert F Swinnie Airport","United States of America","Andrews","https://www.worlddata.info/america/usa/airports.php"
"ADS","KADS","Addison Airport","United States of America","Dallas","https://www.worlddata.info/america/usa/airports.php"
"ADT","KADH","Ada Regional Airport","United States of America","Ada","https://www.worlddata.info/america/usa/airports.php"
"ADU","OITL","Ardabil Airport","Iran","Ardabil","https://www.worlddata.info/asia/iran/airports.php"
"ADV",,"El Daein Airport","Sudan","El Daein","https://www.worlddata.info/africa/sudan/airports.php"
"ADW","KADW","Joint Base Andrews","United States of America","Camp Springs","https://www.worlddata.info/america/usa/airports.php"
"ADX","EGQL","Leuchars Station Airfield","United Kingdom","Leuchars, Fife","https://www.worlddata.info/europe/united-kingdom/airports.php"
"ADY","FAAL","Alldays Airport","South Africa","Alldays","https://www.worlddata.info/africa/south-africa/airports.php"
"ADZ","SKSP","Gustavo Rojas Pinilla International Airport","Colombia","San Andrés","https://www.worlddata.info/america/colombia/airports.php"
"AEA","NGTB","Abemama Airport","Kiribati","Abemama","https://www.worlddata.info/oceania/kiribati/airports.php"
"AEB",,"Baise (Bose) Bama Airport","China","Baise (Tianyang)","https://www.worlddata.info/asia/china/airports.php"
"AEE",,"Adareil Airport","South Sudan","Adar","https://www.worlddata.info/africa/south-sudan/airports.php"
"AEG","WIME","Aek Godang Airport","Indonesia","Padang Sidempuan","https://www.worlddata.info/asia/indonesia/airports.php"
"AEH","FTTC","Abeche Airport","Chad","Abeche","https://www.worlddata.info/africa/chad/airports.php"
"AEK",,"Aseki Airport","Papua New Guinea","Aseki","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AEL","KAEL","Albert Lea Municipal Airport","United States of America","Albert Lea","https://www.worlddata.info/america/usa/airports.php"
"AEM","UHTG","Amgu Airport","Russia","Amgu","https://www.worlddata.info/europe/russia/airports.php"
"AEO","GQNA","Aioun el Atrouss Airport","Mauritania","Aioun El Atrouss","https://www.worlddata.info/africa/mauritania/airports.php"
"AEP","SABE","Jorge Newbery Airpark","Argentina","Buenos Aires","https://www.worlddata.info/america/argentina/airports.php"
"AEQ",,"Ar Horqin Airport","China","Chifeng","https://www.worlddata.info/asia/china/airports.php"
"AER","URSS","Sochi International Airport","Russia","Sochi","https://www.worlddata.info/europe/russia/airports.php"
"AES","ENAL","Ålesund Airport, Vigra","Norway","Ålesund","https://www.worlddata.info/europe/norway/airports.php"
"AET","PFAL","Allakaket Airport","United States of America","Allakaket","https://www.worlddata.info/america/usa/airports.php"
"AEU","OIBA","Abu Musa Island Airport","Iran","Abu Musa","https://www.worlddata.info/asia/iran/airports.php"
"AEX","KAEX","Alexandria International Airport","United States of America","Alexandria","https://www.worlddata.info/america/usa/airports.php"
"AEY","BIAR","Akureyri Airport","Iceland","Akureyri","https://www.worlddata.info/europe/iceland/airports.php"
"AFA","SAMR","Suboficial Ay Santiago Germano Airport","Argentina","San Rafael","https://www.worlddata.info/america/argentina/airports.php"
"AFD","FAPA","Port Alfred Airport","South Africa","Port Alfred","https://www.worlddata.info/africa/south-africa/airports.php"
"AFF","KAFF","USAF Academy Airfield","United States of America","Colorado Springs","https://www.worlddata.info/america/usa/airports.php"
"AFI","SKAM","Amalfi Airport","Colombia","Amalfi","https://www.worlddata.info/america/colombia/airports.php"
"AFL","SBAT","Piloto Osvaldo Marques Dias Airport","Brazil","Alta Floresta","https://www.worlddata.info/america/brazil/airports.php"
"AFN","KAFN","Jaffrey Airfield Silver Ranch Airport","United States of America","Jaffrey","https://www.worlddata.info/america/usa/airports.php"
"AFO","KAFO","Afton Municipal Airport","United States of America","Afton","https://www.worlddata.info/america/usa/airports.php"
"AFR",,"Afore Airstrip","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AFS","UTSN","Sugraly Airport","Uzbekistan","Zarafshan","https://www.worlddata.info/asia/uzbekistan/airports.php"
"AFT","AGAF","Afutara Aerodrome","Solomon Islands","Bila","https://www.worlddata.info/oceania/solomon-islands/airports.php"
"AFW","KAFW","Perot Field/Fort Worth Alliance Airport","United States of America","Fort Worth","https://www.worlddata.info/america/usa/airports.php"
"AFY","LTAH","Afyon Air Base","Turkey","Afyonkarahisar","https://www.worlddata.info/asia/turkey/airports.php"
"AFZ","OIMS","Sabzevar National Airport","Iran","Sabzevar","https://www.worlddata.info/asia/iran/airports.php"
"AGA","GMAD","Al Massira Airport","Morocco","Agadir (Temsia)","https://www.worlddata.info/africa/morocco/airports.php"
"AGB","EDMA","Augsburg Airport","Germany","Augsburg","https://www.worlddata.info/europe/germany/airports.php"
"AGC","KAGC","Allegheny County Airport","United States of America","Pittsburgh","https://www.worlddata.info/america/usa/airports.php"
"AGD",,"Anggi Airport","Indonesia","Anggi-Papua Island","https://www.worlddata.info/asia/indonesia/airports.php"
"AGE","EDWG","Wangerooge Airport","Germany","Wangerooge","https://www.worlddata.info/europe/germany/airports.php"
"AGF","LFBA","Agen-La Garenne Airport","France","Agen/La Garenne","https://www.worlddata.info/europe/france/airports.php"
"AGG",,"Angoram Airport","Papua New Guinea","Angoram","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AGH","ESTA","Ängelholm-Helsingborg Airport","Sweden","Ängelholm","https://www.worlddata.info/europe/sweden/airports.php"
"AGI","SMWA","Wageningen Airstrip","Suriname","Wageningen","https://www.worlddata.info/america/suriname/airports.php"
"AGJ","RORA","Aguni Airport","Japan","Aguni","https://www.worlddata.info/asia/japan/airports.php"
"AGK",,"Kagua Airport","Papua New Guinea","Kagua","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AGL",,"Wanigela Airport","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AGO","KAGO","Magnolia Municipal Airport / Ralph C Weiser Field","United States of America","Magnolia","https://www.worlddata.info/america/usa/airports.php"
"AGP","LEMG","Málaga-Costa del Sol Airport","Spain","Málaga","https://www.worlddata.info/europe/spain/airports.php"
"AGR","VIAG","Agra Airport / Agra Air Force Station","India","Agra","https://www.worlddata.info/asia/india/airports.php"
"AGS","KAGS","Augusta Regional At Bush Field","United States of America","Augusta","https://www.worlddata.info/america/usa/airports.php"
"AGT","SGES","Aeropuerto Internacional Guaraní","Paraguay","Ciudad del Este","https://www.worlddata.info/america/paraguay/airports.php"
"AGU","MMAS","Aeropuerto Internacional Jesús Terán Peredo","Mexico","Aguascalientes","https://www.worlddata.info/america/mexico/airports.php"
"AGV","SVAC","Oswaldo Guevara Mujica Airport","Venezuela","Acarigua","https://www.worlddata.info/america/venezuela/airports.php"
"AGW",,"Agnew Airport","Australia","Agnew","https://www.worlddata.info/oceania/australia/airports.php"
"AGX","VOAT","Agatti Airport","India","Agatti","https://www.worlddata.info/asia/india/airports.php"
"AGY",,"Argyle Downs Airport","Australia","Argyle Downs","https://www.worlddata.info/oceania/australia/airports.php"
"AGZ","FAAG","Aggeneys Airport","South Africa","Aggeneys","https://www.worlddata.info/africa/south-africa/airports.php"
"AHB","OEAB","Abha International Airport","Saudi Arabia","Abha","https://www.worlddata.info/asia/saudi-arabia/airports.php"
"AHC","KAHC","Amedee Army Air Field","United States of America","Herlong","https://www.worlddata.info/america/usa/airports.php"
"AHD",,"Ardmore Downtown Executive Airport","United States of America","Ardmore","https://www.worlddata.info/america/usa/airports.php"
"AHE","NTHE","Ahe Airport","French Polynesia","Ahe Atoll","https://www.worlddata.info/oceania/french-polynesia/airports.php"
"AHF",,"Arapahoe Municipal Airport","United States of America","Arapahoe","https://www.worlddata.info/america/usa/airports.php"
"AHH","KAHH","Amery Municipal Airport","United States of America","Amery","https://www.worlddata.info/america/usa/airports.php"
"AHI","WAPA","Amahai Airport","Indonesia","Amahai","https://www.worlddata.info/asia/indonesia/airports.php"
"AHJ",,"Hongyuan Airport","China","Ngawa (Hongyuan)","https://www.worlddata.info/asia/china/airports.php"
"AHL","SYAH","Aishalton Airport","Guyana","Aishalton","https://www.worlddata.info/america/guyana/airports.php"
"AHM",,"Ashland Municipal Airport Sumner Parker Field","United States of America","Ashland","https://www.worlddata.info/america/usa/airports.php"
"AHN","KAHN","Athens Ben Epps Airport","United States of America","Athens","https://www.worlddata.info/america/usa/airports.php"
"AHO","LIEA","Alghero-Fertilia Airport","Italy","Alghero","https://www.worlddata.info/europe/italy/airports.php"
"AHS","MHAH","Ahuas Airport","Honduras","Ahuas","https://www.worlddata.info/america/honduras/airports.php"
"AHU","GMTA","Cherif Al Idrissi Airport","Morocco","Al Hoceima","https://www.worlddata.info/africa/morocco/airports.php"
"AHY",,"Ambatolhy Airport","Madagascar","Ambatolahy","https://www.worlddata.info/africa/madagascar/airports.php"
"AHZ","LFHU","Altiport L'Alpe d'Huez - Henri GIRAUD","France","L'Alpe d'Huez","https://www.worlddata.info/europe/france/airports.php"
"AIA","KAIA","Alliance Municipal Airport","United States of America","Alliance","https://www.worlddata.info/america/usa/airports.php"
"AIC",,"Ailinglaplap Airok Airport","Marshall Islands","Bigatyelang Island","https://www.worlddata.info/oceania/marshall-islands/airports.php"
"AID","KAID","Anderson Municipal Darlington Field","United States of America","Anderson","https://www.worlddata.info/america/usa/airports.php"
"AIE",,"Aiome Airport","Papua New Guinea","Aiome","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AIF","SNAX","Marcelo Pires Halzhausen Airport","Brazil","Assis","https://www.worlddata.info/america/brazil/airports.php"
"AIG","FEFY","Yalinga Airport","Central African Republic","Yalinga","https://www.worlddata.info/africa/central-african-republic/airports.php"
"AIH",,"Aiambak Airport","Papua New Guinea","Aiambak","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AII","HDAS","Ali-Sabieh Airport","Djibouti","Ali-Sabieh","https://www.worlddata.info/africa/djibouti/airports.php"
"AIK","KAIK","Aiken Regional Airport","United States of America","Aiken","https://www.worlddata.info/america/usa/airports.php"
"AIL",,"Ailigandí Airport","Panama","Isla Lorenzo Bello","https://www.worlddata.info/america/panama/airports.php"
"AIM",,"Ailuk Airport","Marshall Islands","Ailuk Island","https://www.worlddata.info/oceania/marshall-islands/airports.php"
"AIN","PAWI","Wainwright Airport","United States of America","Wainwright","https://www.worlddata.info/america/usa/airports.php"
"AIO","KAIO","Atlantic Municipal Airport","United States of America","Atlantic","https://www.worlddata.info/america/usa/airports.php"
"AIP","VIAX","Adampur Airport","India","Adampur","https://www.worlddata.info/asia/india/airports.php"
"AIR","SWRP","Aripuanã Airport","Brazil","Aripuanã","https://www.worlddata.info/america/brazil/airports.php"
"AIS","NGTR","Arorae Island Airport","Kiribati","Arorae Island","https://www.worlddata.info/oceania/kiribati/airports.php"
"AIT","NCAI","Aitutaki Airport","Cook Islands","Aitutaki","https://www.worlddata.info/oceania/cook-islands/airports.php"
"AIU","NCAT","Enua Airport","Cook Islands","Atiu Island","https://www.worlddata.info/oceania/cook-islands/airports.php"
"AIV","KAIV","George Downer Airport","United States of America","Aliceville","https://www.worlddata.info/america/usa/airports.php"
"AIW","FYAA","Ai-Ais Airport","Namibia","Ai-Ais","https://www.worlddata.info/africa/namibia/airports.php"
"AIZ","KAIZ","Lee C Fine Memorial Airport","United States of America","Kaiser Lake Ozark","https://www.worlddata.info/america/usa/airports.php"
"AJA","LFKJ","Ajaccio-Napoléon Bonaparte Airport","France","Ajaccio/Napoléon Bonaparte","https://www.worlddata.info/europe/france/airports.php"
"AJF","OESK","Al-Jawf Domestic Airport","Saudi Arabia","Al-Jawf","https://www.worlddata.info/asia/saudi-arabia/airports.php"
"AJI","LTCO","Ağrı Airport","Turkey","Ağrı","https://www.worlddata.info/asia/turkey/airports.php"
"AJJ","GQNJ","Akjoujt Airport","Mauritania","Akjoujt","https://www.worlddata.info/africa/mauritania/airports.php"
"AJK","OIHR","Arak Airport","Iran","Araak","https://www.worlddata.info/asia/iran/airports.php"
"AJL","VELP","Lengpui Airport","India","Aizawl (Lengpui)","https://www.worlddata.info/asia/india/airports.php"
"AJN","FMCV","Ouani Airport","Comoros","Ouani","https://www.worlddata.info/africa/comoros/airports.php"
"AJR","ESNX","Arvidsjaur Airport","Sweden","Arvidsjaur","https://www.worlddata.info/europe/sweden/airports.php"
"AJS",,"Punta Abreojos Airport","Mexico","Mulegé","https://www.worlddata.info/america/mexico/airports.php"
"AJU","SBAR","Aracaju - Santa Maria International Airport","Brazil","Aracaju","https://www.worlddata.info/america/brazil/airports.php"
"AJY","DRZA","Mano Dayak International Airport","Niger","Agadez","https://www.worlddata.info/africa/niger/airports.php"
"AKA","ZLAK","Ankang Fuqiang Airport","China","Ankang (Hanbin)","https://www.worlddata.info/asia/china/airports.php"
"AKB","PAAK","Atka Airport","United States of America","Atka","https://www.worlddata.info/america/usa/airports.php"
"AKC","KAKR","Akron Fulton International Airport","United States of America","Akron","https://www.worlddata.info/america/usa/airports.php"
"AKD","VAAK","Akola Airport","India","Akola","https://www.worlddata.info/asia/india/airports.php"
"AKE",,"Akieni Airport","Gabon","Akieni","https://www.worlddata.info/africa/gabon/airports.php"
"AKF","HLKF","Kufra Airport","Libya","Kufra","https://www.worlddata.info/africa/libya/airports.php"
"AKG",,"Anguganak Airport","Papua New Guinea","Anguganak","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AKH","OEPS","Prince Sultan Air Base","Saudi Arabia",,"https://www.worlddata.info/asia/saudi-arabia/airports.php"
"AKI","PFAK","Akiak Airport","United States of America","Akiak","https://www.worlddata.info/america/usa/airports.php"
"AKJ","RJEC","Asahikawa Airport","Japan","Higashikagura","https://www.worlddata.info/asia/japan/airports.php"
"AKK","PAKH","Akhiok Airport","United States of America","Akhiok","https://www.worlddata.info/america/usa/airports.php"
"AKL","NZAA","Auckland International Airport","New Zealand","Auckland","https://www.worlddata.info/oceania/new-zealand/airports.php"
"AKM",,"Zakuoma Airport","Chad","ZaKouma","https://www.worlddata.info/africa/chad/airports.php"
"AKN","PAKN","King Salmon Airport","United States of America","King Salmon","https://www.worlddata.info/america/usa/airports.php"
"AKO","KAKO","Colorado Plains Regional Airport","United States of America","Akron","https://www.worlddata.info/america/usa/airports.php"
"AKP","PAKP","Anaktuvuk Pass Airport","United States of America","Anaktuvuk Pass","https://www.worlddata.info/america/usa/airports.php"
"AKQ",,"Gunung Batin Airport","Indonesia","Astraksetra","https://www.worlddata.info/asia/indonesia/airports.php"
"AKR","DNAK","Akure Airport","Nigeria","Akure","https://www.worlddata.info/africa/nigeria/airports.php"
"AKS","AGGA","Gwaunaru'u Airport","Solomon Islands","Auki","https://www.worlddata.info/oceania/solomon-islands/airports.php"
"AKT","LCRA","RAF Akrotiri","Cyprus","Akrotiri","https://www.worlddata.info/asia/cyprus/airports.php"
"AKU","ZWAK","Aksu Hongqipo Airport","China","Aksu (Onsu)","https://www.worlddata.info/asia/china/airports.php"
"AKV","CYKO","Akulivik Airport","Canada","Akulivik","https://www.worlddata.info/america/canada/airports.php"
"AKW","OIAG","Aghajari Airport","Iran","Aghajari","https://www.worlddata.info/asia/iran/airports.php"
"AKX","UATT","Aktobe Airport","Kazakhstan","Aktobe","https://www.worlddata.info/asia/kazakhstan/airports.php"
"AKY","VYSW","Sittwe Airport","Myanmar","Sittwe","https://www.worlddata.info/asia/burma/airports.php"
"ALA","UAAA","Almaty International Airport","Kazakhstan","Almaty","https://www.worlddata.info/asia/kazakhstan/airports.php"
"ALB","KALB","Albany International Airport","United States of America","Albany","https://www.worlddata.info/america/usa/airports.php"
"ALC","LEAL","Alicante-Elche Miguel Hernández Airport","Spain","Alicante","https://www.worlddata.info/europe/spain/airports.php"
"ALD","SPAR","Alerta Airport","Peru","Fortaleza","https://www.worlddata.info/america/peru/airports.php"
"ALE",,"Alpine Casparis Municipal Airport","United States of America","Alpine","https://www.worlddata.info/america/usa/airports.php"
"ALF","ENAT","Alta Airport","Norway","Alta","https://www.worlddata.info/europe/norway/airports.php"
"ALG","DAAG","Houari Boumediene Airport","Algeria","Algiers","https://www.worlddata.info/africa/algeria/airports.php"
"ALH","YABA","Albany Airport","Australia","Albany","https://www.worlddata.info/oceania/australia/airports.php"
"ALI","KALI","Alice International Airport","United States of America","Alice","https://www.worlddata.info/america/usa/airports.php"
"ALJ","FAAB","Alexander Bay Airport","South Africa","Alexander Bay","https://www.worlddata.info/africa/south-africa/airports.php"
"ALL","LIMG","Riviera Villanova d'Albenga International Airport","Italy","Villanova d'Albenga (SV)","https://www.worlddata.info/europe/italy/airports.php"
"ALM","KALM","Alamogordo White Sands Regional Airport","United States of America","Alamogordo","https://www.worlddata.info/america/usa/airports.php"
"ALN","KALN","St Louis Regional Airport","United States of America","Alton/St Louis","https://www.worlddata.info/america/usa/airports.php"
"ALO","KALO","Waterloo Regional Airport","United States of America","Waterloo","https://www.worlddata.info/america/usa/airports.php"
"ALP","OSAP","Aleppo International Airport","Syria","Aleppo","https://www.worlddata.info/asia/syria/airports.php"
"ALQ","SSLT","Alegrete Novo Airport","Brazil","Alegrete","https://www.worlddata.info/america/brazil/airports.php"
"ALR","NZLX","Alexandra Aerodrome","New Zealand","Alexandra","https://www.worlddata.info/oceania/new-zealand/airports.php"
"ALS","KALS","San Luis Valley Regional Airport/Bergman Field","United States of America","Alamosa","https://www.worlddata.info/america/usa/airports.php"
"ALT",,"Alenquer Municipal Airport","Brazil","Alenquer","https://www.worlddata.info/america/brazil/airports.php"
"ALU","HCMA","Caluula Airport","Somalia","Caluula","https://www.worlddata.info/africa/somalia/airports.php"
"ALW","KALW","Walla Walla Regional Airport","United States of America","Walla Walla","https://www.worlddata.info/america/usa/airports.php"
"ALX","KALX","Thomas C Russell Field","United States of America","Alexander City","https://www.worlddata.info/america/usa/airports.php"
"AMA","KAMA","Rick Husband Amarillo International Airport","United States of America","Amarillo","https://www.worlddata.info/america/usa/airports.php"
"AMB","FMNE","Ambilobe Airport","Madagascar",,"https://www.worlddata.info/africa/madagascar/airports.php"
"AMC","FTTN","Am Timan Airport","Chad","Am Timan","https://www.worlddata.info/africa/chad/airports.php"
"AMD","VAAH","Sardar Vallabh Bhai Patel International Airport","India","Ahmedabad","https://www.worlddata.info/asia/india/airports.php"
