"IATA","ICAO","Airport name","Country","City","Information"
"OYN","YOUY","Ouyen Airport","Australia","Ouyen","https://www.worlddata.info/oceania/australia/airports.php"
"OYO","SAZH","Tres Arroyos Airport","Argentina","Tres Arroyos","https://www.worlddata.info/america/argentina/airports.php"
"OYP","SOOG","Saint-Georges-de-l'Oyapock Airport","French Guiana","Saint-Georges-de-l'Oyapock","https://www.worlddata.info/america/french-guiana/airports.php"
"OZA","KOZA","Ozona Municipal Airport","United States of America","Ozona","https://www.worlddata.info/america/usa/airports.php"
"OZC","RPMO","Labo Airport","Philippines","Ozamiz","https://www.worlddata.info/asia/philippines/airports.php"
"OZG",,"Zagora Airport","Morocco","Zagora","https://www.worlddata.info/africa/morocco/airports.php"
"OZH","UKDE","Zaporizhzhia International Airport","Ukraine","Zaporizhia","https://www.worlddata.info/europe/ukraine/airports.php"
"OZP","LEMO","Moron Air Base","Spain","Morón","https://www.worlddata.info/europe/spain/airports.php"
"OZR","KOZR","Cairns AAF (Fort Rucker) Air Field","United States of America","Fort Rucker/Ozark","https://www.worlddata.info/america/usa/airports.php"
"OZZ","GMMZ","Ouarzazate Airport","Morocco","Ouarzazate","https://www.worlddata.info/africa/morocco/airports.php"
"PAA","VYPA","Hpa-N Airport","Myanmar","Hpa-N","https://www.worlddata.info/asia/burma/airports.php"
"PAB","VABI","Bilaspur Airport","India","Bilaspur","https://www.worlddata.info/asia/india/airports.php"
"PAC","MPMG","Marcos A. Gelabert International Airport","Panama","Albrook","https://www.worlddata.info/america/panama/airports.php"
"PAD","EDLP","Paderborn Lippstadt Airport","Germany","Büren","https://www.worlddata.info/europe/germany/airports.php"
"PAE","KPAE","Seattle Paine Field International Airport","United States of America","Everett","https://www.worlddata.info/america/usa/airports.php"
"PAF","HUKF","Kabalega Falls Airport","Uganda","Pakuba","https://www.worlddata.info/africa/uganda/airports.php"
"PAG","RPMP","Pagadian Airport","Philippines","Pagadian","https://www.worlddata.info/asia/philippines/airports.php"
"PAH","KPAH","Barkley Regional Airport","United States of America","Paducah","https://www.worlddata.info/america/usa/airports.php"
"PAJ","OPPC","Parachinar Airport","Pakistan","Parachinar","https://www.worlddata.info/asia/pakistan/airports.php"
"PAK","PHPA","Port Allen Airport","United States of America","Hanapepe","https://www.worlddata.info/america/usa/airports.php"
"PAL","SKPQ","German Olano Air Base","Colombia","La Dorada","https://www.worlddata.info/america/colombia/airports.php"
"PAM","KPAM","Tyndall Air Force Base","United States of America","Panama City","https://www.worlddata.info/america/usa/airports.php"
"PAN","VTSK","Pattani Airport","Thailand",,"https://www.worlddata.info/asia/thailand/airports.php"
"PAO","KPAO","Palo Alto Airport","United States of America","Palo Alto","https://www.worlddata.info/america/usa/airports.php"
"PAP","MTPP","Toussaint Louverture International Airport","Haiti","Port-au-Prince","https://www.worlddata.info/america/haiti/airports.php"
"PAQ","PAAQ","Warren Bud Woods Palmer Municipal Airport","United States of America","Palmer","https://www.worlddata.info/america/usa/airports.php"
"PAS","LGPA","Paros National Airport","Greece","Paros","https://www.worlddata.info/europe/greece/airports.php"
"PAT","VEPT","Jay Prakash Narayan Airport","India","Patna","https://www.worlddata.info/asia/india/airports.php"
"PAU","VYPK","Pauk Airport","Myanmar","Pauk","https://www.worlddata.info/asia/burma/airports.php"
"PAV","SBUF","Paulo Afonso Airport","Brazil","Paulo Afonso","https://www.worlddata.info/america/brazil/airports.php"
"PAX","MTPX","Port-de-Paix Airport","Haiti","Port-de-Paix","https://www.worlddata.info/america/haiti/airports.php"
"PAY","WBKP","Pamol Airport","Malaysia","Pamol","https://www.worlddata.info/asia/malaysia/airports.php"
"PAZ","MMPA","El Tajín National Airport","Mexico","Poza Rica","https://www.worlddata.info/america/mexico/airports.php"
"PBB","SSPN","Paranaíba Airport","Brazil","Paranaíba","https://www.worlddata.info/america/brazil/airports.php"
"PBC","MMPB","Aeropuerto Internacional Hermanos Serdán","Mexico","Puebla","https://www.worlddata.info/america/mexico/airports.php"
"PBD","VAPR","Porbandar Airport","India","Porbandar","https://www.worlddata.info/asia/india/airports.php"
"PBE","SKPR","Puerto Berrio Airport","Colombia","Puerto Berrio","https://www.worlddata.info/america/colombia/airports.php"
"PBF","KPBF","Pine Bluff Regional Airport, Grider Field","United States of America","Pine Bluff","https://www.worlddata.info/america/usa/airports.php"
"PBG","KPBG","Plattsburgh International Airport","United States of America","Plattsburgh","https://www.worlddata.info/america/usa/airports.php"
"PBH","VQPR","Paro International Airport","Bhutan","Paro","https://www.worlddata.info/asia/bhutan/airports.php"
"PBI","KPBI","Palm Beach International Airport","United States of America","West Palm Beach","https://www.worlddata.info/america/usa/airports.php"
"PBJ","NVSI","Tavie Airport","Vanuatu","Paama Island","https://www.worlddata.info/oceania/vanuatu/airports.php"
"PBL","SVPC","General Bartolome Salom International Airport","Venezuela",,"https://www.worlddata.info/america/venezuela/airports.php"
"PBM","SMJP","Johan Adolf Pengel International Airport","Suriname","Zandery","https://www.worlddata.info/america/suriname/airports.php"
"PBN","FNPA","Porto Amboim Airport","Angola","Port Amboim","https://www.worlddata.info/africa/angola/airports.php"
"PBO","YPBO","Paraburdoo Airport","Australia","Paraburdoo","https://www.worlddata.info/oceania/australia/airports.php"
"PBP","MRIA","Islita Airport","Costa Rica","Nandayure","https://www.worlddata.info/america/costa-rica/airports.php"
"PBQ","SWPM","Pimenta Bueno Airport","Brazil","Pimenta Bueno","https://www.worlddata.info/america/brazil/airports.php"
"PBR","MGPB","Puerto Barrios Airport","Guatemala","Puerto Barrios","https://www.worlddata.info/america/guatemala/airports.php"
"PBT",,"Aeródromo de Puerto Leda","Paraguay","Puerto Leda","https://www.worlddata.info/america/paraguay/airports.php"
"PBU","VYPT","Putao Airport","Myanmar","Putao","https://www.worlddata.info/asia/burma/airports.php"
"PBX","SWPQ","Fazenda Piraguassu Airport","Brazil","Porto Alegre do Norte","https://www.worlddata.info/america/brazil/airports.php"
"PBZ","FAPG","Plettenberg Bay Airport","South Africa","Plettenberg Bay","https://www.worlddata.info/africa/south-africa/airports.php"
"PCA","PAOC","Portage Creek Airport","United States of America","Portage Creek","https://www.worlddata.info/america/usa/airports.php"
"PCB","WIHP","Pondok Cabe Air Base","Indonesia","Jakarta","https://www.worlddata.info/asia/indonesia/airports.php"
"PCC",,"Puerto Rico Airport","Colombia","Puerto Rico","https://www.worlddata.info/america/colombia/airports.php"
"PCD","KPDC","Prairie Du Chien Municipal Airport","United States of America","Prairie Du Chien","https://www.worlddata.info/america/usa/airports.php"
"PCF","FAPS","Potchefstroom Airport","South Africa","Potchefstroom","https://www.worlddata.info/africa/south-africa/airports.php"
"PCG",,"Paso Caballos Airport","Guatemala","Paso Caballos","https://www.worlddata.info/america/guatemala/airports.php"
"PCH","MHPC","Palacios Airport","Honduras","Palacios","https://www.worlddata.info/america/honduras/airports.php"
"PCJ",,"Aeródromo de Puerto La Victoria","Paraguay","Puerto La Victoria","https://www.worlddata.info/america/paraguay/airports.php"
"PCL","SPCL","Cap FAP David Abenzur Rengifo International Airport","Peru","Pucallpa","https://www.worlddata.info/america/peru/airports.php"
"PCM",,"Aeropuerto Nacional de Playa del Carmen","Mexico","Solidaridad","https://www.worlddata.info/america/mexico/airports.php"
"PCN","NZPN","Picton Aerodrome","New Zealand","Koromiko","https://www.worlddata.info/oceania/new-zealand/airports.php"
"PCO","MMPL","Punta Colorada Airport","Mexico","La Ribera","https://www.worlddata.info/america/mexico/airports.php"
"PCP","FPPR","Principe Airport","Sao Tome and Principe","São Tomé & Príncipe","https://www.worlddata.info/africa/sao-tome-and-principe/airports.php"
"PCQ",,"Boun Neau Airport","Laos","Phongsaly","https://www.worlddata.info/asia/laos/airports.php"
"PCR","SKPC","German Olano Airport","Colombia","Puerto Carreño","https://www.worlddata.info/america/colombia/airports.php"
"PCS","SNPC","Picos Airport","Brazil","Picos","https://www.worlddata.info/america/brazil/airports.php"
"PCT",,"Princeton Airport","United States of America","Princeton/Rocky Hill","https://www.worlddata.info/america/usa/airports.php"
"PCU",,"Poplarville Pearl River County Airport","United States of America","Poplarville","https://www.worlddata.info/america/usa/airports.php"
"PCV",,"Punta Chivato Airport","Mexico","Mulegé","https://www.worlddata.info/america/mexico/airports.php"
"PDA","SKPD","Obando Cesar Gaviria Trujillo Airport","Colombia","Puerto Inírida","https://www.worlddata.info/america/colombia/airports.php"
"PDB",,"Pedro Bay Airport","United States of America","Pedro Bay","https://www.worlddata.info/america/usa/airports.php"
"PDC","NWWQ","Mueo Airport","New Caledonia","Népoui","https://www.worlddata.info/oceania/new-caledonia/airports.php"
"PDD","FQPO","Ponta do Ouro Airport","Mozambique","Ponta do Ouro","https://www.worlddata.info/africa/mozambique/airports.php"
"PDE","YPDI","Pandie Pandie Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"PDF","SNRD","Prado Airport","Brazil","Prado","https://www.worlddata.info/america/brazil/airports.php"
"PDG","WIPT","Minangkabau International Airport","Indonesia","Padang (Katapiang)","https://www.worlddata.info/asia/indonesia/airports.php"
"PDI",,"Pindiu Airport","Papua New Guinea","Pindiu","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"PDK","KPDK","DeKalb Peachtree Airport","United States of America","Atlanta","https://www.worlddata.info/america/usa/airports.php"
"PDL","LPPD","João Paulo II Airport","Portugal","Ponta Delgada","https://www.worlddata.info/europe/portugal/airports.php"
"PDM","MPPD","Capt. J. Montenegro Airport","Panama","Pedasí","https://www.worlddata.info/america/panama/airports.php"
"PDN","YPDA","Parndana Airport","Australia","Kangaroo Island","https://www.worlddata.info/oceania/australia/airports.php"
"PDO","WIPQ","Pendopo Airport","Indonesia","Talang Gudang-Sumatra Island","https://www.worlddata.info/asia/indonesia/airports.php"
"PDP","SULS","Capitan Corbeta CA Curbelo International Airport","Uruguay","Punta del Este","https://www.worlddata.info/america/uruguay/airports.php"
"PDR",,"Presidente José Sarney Airport","Brazil","Presidente Dutra","https://www.worlddata.info/america/brazil/airports.php"
"PDS","MMPG","Piedras Negras International Airport","Mexico","Piedras Negras","https://www.worlddata.info/america/mexico/airports.php"
"PDT","KPDT","Eastern Oregon Regional Airport at Pendleton","United States of America","Pendleton","https://www.worlddata.info/america/usa/airports.php"
"PDU","SUPU","Tydeo Larre Borges Airport","Uruguay","Paysandú","https://www.worlddata.info/america/uruguay/airports.php"
"PDV","LBPD","Plovdiv International Airport","Bulgaria","Plovdiv","https://www.worlddata.info/europe/bulgaria/airports.php"
"PDX","KPDX","Portland International Airport","United States of America","Portland","https://www.worlddata.info/america/usa/airports.php"
"PDZ","SVPE","Pedernales Airport","Venezuela",,"https://www.worlddata.info/america/venezuela/airports.php"
"PEA","YPSH","Penneshaw Airport","Australia","Ironstone","https://www.worlddata.info/oceania/australia/airports.php"
"PED","LKPD","Pardubice Airport","Czechia","Pardubice","https://www.worlddata.info/europe/czechia/airports.php"
"PEE","USPP","Perm International Airport","Russia","Perm","https://www.worlddata.info/europe/russia/airports.php"
"PEF","EDCP","Peenemünde Airport","Germany","Peenemünde","https://www.worlddata.info/europe/germany/airports.php"
"PEG","LIRZ","Perugia San Francesco d'Assisi – Umbria International Airport","Italy","Perugia (PG)","https://www.worlddata.info/europe/italy/airports.php"
"PEH","SAZP","Comodoro Pedro Zanni Airport","Argentina","Pehuajó","https://www.worlddata.info/america/argentina/airports.php"
"PEI","SKPE","Matecaña International Airport","Colombia","Pereira","https://www.worlddata.info/america/colombia/airports.php"
"PEK","ZBAA","Beijing Capital International Airport","China","Beijing","https://www.worlddata.info/asia/china/airports.php"
"PEL","FXPG","Pelaneng Airport","Lesotho","Pelaneng","https://www.worlddata.info/africa/lesotho/airports.php"
"PEM","SPTU","Padre Aldamiz International Airport","Peru","Puerto Maldonado","https://www.worlddata.info/america/peru/airports.php"
"PEN","WMKP","Penang International Airport","Malaysia","Penang","https://www.worlddata.info/asia/malaysia/airports.php"
"PEP",,"Peppimenarti Airport","Australia","Peppimenarti","https://www.worlddata.info/oceania/australia/airports.php"
"PEQ","KPEQ","Pecos Municipal Airport","United States of America","Pecos","https://www.worlddata.info/america/usa/airports.php"
"PER","YPPH","Perth International Airport","Australia","Perth","https://www.worlddata.info/oceania/australia/airports.php"
"PES","ULPB","Petrozavodsk Airport","Russia","Petrozavodsk","https://www.worlddata.info/europe/russia/airports.php"
"PET","SBPK","João Simões Lopes Neto International Airport","Brazil","Pelotas","https://www.worlddata.info/america/brazil/airports.php"
"PEU","MHPL","Puerto Lempira Airport","Honduras","Puerto Lempira","https://www.worlddata.info/america/honduras/airports.php"
"PEV","LHPP","Pécs-Pogány Airport","Hungary","Pogány","https://www.worlddata.info/europe/hungary/airports.php"
"PEW","OPPS","Peshawar International Airport","Pakistan","Peshawar","https://www.worlddata.info/asia/pakistan/airports.php"
"PEX","UUYP","Pechora Airport","Russia","Pechora","https://www.worlddata.info/europe/russia/airports.php"
